id_eso,ambiente,objeto,variable_unidad_original,frecuencia,mes,valor_original,estadisticos_adicionales_orden_eso
1157,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02 EQUIPMENT GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1161,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02 EQUIPMENT GAIN,Other Equipment Total Heating Rate [W],Monthly,1,10.750790322580603,0.0| 1| 1|10|29.6244| 1| 9|10
1165,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01 COMPUTING GAIN,Other Equipment Electricity Rate [W],Monthly,1,34.60980846774186,0.0| 1| 1|10|95.36925| 1| 9|10
1182,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01 COMPUTING GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1186,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01 COMPUTING GAIN,Other Equipment Total Heating Rate [W],Monthly,1,34.60980846774186,0.0| 1| 1|10|95.36925| 1| 9|10
1190,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01 MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,4.614641129032273,0.0| 1| 1|10|12.7159| 1| 9|10
1195,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01 MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1199,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01 MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,4.614641129032273,0.0| 1| 1|10|12.7159| 1| 9|10
1203,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01 EQUIPMENT GAIN,Other Equipment Electricity Rate [W],Monthly,1,13.843923387096803,0.0| 1| 1|10|38.1477| 1| 9|10
1208,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01 EQUIPMENT GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1212,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01 EQUIPMENT GAIN,Other Equipment Total Heating Rate [W],Monthly,1,13.843923387096803,0.0| 1| 1|10|38.1477| 1| 9|10
1216,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXDC MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,3923.8500000000537,3923.85| 1| 1|10|3923.85| 1| 1|10
1233,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXDC MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1237,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXDC MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,3923.8500000000537,3923.85| 1| 1|10|3923.85| 1| 1|10
1241,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR COMPUTING GAIN,Other Equipment Electricity Rate [W],Monthly,1,34.551562500000169,0.0| 1| 1|10|95.20875| 1| 9|10
1258,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR COMPUTING GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1262,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR COMPUTING GAIN,Other Equipment Total Heating Rate [W],Monthly,1,34.551562500000169,0.0| 1| 1|10|95.20875| 1| 9|10
1266,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,4.606875000000013,0.0| 1| 1|10|12.6945| 1| 9|10
1271,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1275,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,4.606875000000013,0.0| 1| 1|10|12.6945| 1| 9|10
1279,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR EQUIPMENT GAIN,Other Equipment Electricity Rate [W],Monthly,1,13.82062500000002,0.0| 1| 1|10|38.0835| 1| 9|10
1284,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR EQUIPMENT GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1288,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR EQUIPMENT GAIN,Other Equipment Total Heating Rate [W],Monthly,1,13.82062500000002,0.0| 1| 1|10|38.0835| 1| 9|10
1292,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02 COMPUTING GAIN,Other Equipment Electricity Rate [W],Monthly,1,28.653477822580503,0.0| 1| 1|10|78.95625| 1| 9|10
1309,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02 COMPUTING GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1313,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02 COMPUTING GAIN,Other Equipment Total Heating Rate [W],Monthly,1,28.653477822580503,0.0| 1| 1|10|78.95625| 1| 9|10
1317,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02 MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,3.820463709677425,0.0| 1| 1|10|10.5275| 1| 9|10
1322,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02 MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1326,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02 MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,3.820463709677425,0.0| 1| 1|10|10.5275| 1| 9|10
1330,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02 EQUIPMENT GAIN,Other Equipment Electricity Rate [W],Monthly,1,11.461391129032338,0.0| 1| 1|10|31.5825| 1| 9|10
1335,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02 EQUIPMENT GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1339,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02 EQUIPMENT GAIN,Other Equipment Total Heating Rate [W],Monthly,1,11.461391129032338,0.0| 1| 1|10|31.5825| 1| 9|10
1343,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX02 MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,1.1395080645161269,0.1212| 1| 1|10|2.424| 1|10|10
1360,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX02 MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1364,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX02 MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,1.1395080645161269,0.1212| 1| 1|10|2.424| 1|10|10
1368,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX01 MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,0.9370620463709697,0.0996675| 1| 1|10|1.99335| 1|10|10
1385,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX01 MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1389,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX01 MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,0.9370620463709697,0.0996675| 1| 1|10|1.99335| 1|10|10
